fips,county,state,location,population
08123,Weld,Colorado,Colorado-Weld,252825
08125,Yuma,Colorado,Colorado-Yuma,10043
09001,Fairfield,Connecticut,Connecticut-Fairfield,916829
09003,Hartford,Connecticut,Connecticut-Hartford,894014
09005,Litchfield,Connecticut,Connecticut-Litchfield,189927
09007,Middlesex,Connecticut,Connecticut-Middlesex,165676
09009,New Haven,Connecticut,Connecticut-New Haven,862477
09011,New London,Connecticut,Connecticut-New London,274055
09013,Tolland,Connecticut,Connecticut-Tolland,152691
09015,Windham,Connecticut,Connecticut-Windham,118428
10001,Kent,Delaware,Delaware-Kent,162310
10003,New Castle,Delaware,Delaware-New Castle,538479
10005,Sussex,Delaware,Delaware-Sussex,197145
11001,District of Columbia,District of Columbia,District of Columbia-District of Columbia,601723
12001,Alachua,Florida,Florida-Alachua,247336
12003,Baker,Florida,Florida-Baker,27115
12005,Bay,Florida,Florida-Bay,168852
12007,Bradford,Florida,Florida-Bradford,28520
12009,Brevard,Florida,Florida-Brevard,543376
12011,Broward,Florida,Florida-Broward,1748066
12013,Calhoun,Florida,Florida-Calhoun,14625
12015,Charlotte,Florida,Florida-Charlotte,159978
12017,Citrus,Florida,Florida-Citrus,141236
12019,Clay,Florida,Florida-Clay,190865
12021,Collier,Florida,Florida-Collier,321520
12023,Columbia,Florida,Florida-Columbia,67531
12027,DeSoto,Florida,Florida-DeSoto,34862
12029,Dixie,Florida,Florida-Dixie,16422
12031,Duval,Florida,Florida-Duval,864263
12033,Escambia,Florida,Florida-Escambia,297619
12035,Flagler,Florida,Florida-Flagler,95696
12037,Franklin,Florida,Florida-Franklin,11549
12039,Gadsden,Florida,Florida-Gadsden,46389
12041,Gilchrist,Florida,Florida-Gilchrist,16939
12043,Glades,Florida,Florida-Glades,12884
12045,Gulf,Florida,Florida-Gulf,15863
12047,Hamilton,Florida,Florida-Hamilton,14799
12049,Hardee,Florida,Florida-Hardee,27731
12051,Hendry,Florida,Florida-Hendry,39140
12053,Hernando,Florida,Florida-Hernando,172778
12055,Highlands,Florida,Florida-Highlands,98786
12057,Hillsborough,Florida,Florida-Hillsborough,1229226
12059,Holmes,Florida,Florida-Holmes,19927
12061,Indian River,Florida,Florida-Indian River,138028
12063,Jackson,Florida,Florida-Jackson,49746
12065,Jefferson,Florida,Florida-Jefferson,14761
12067,Lafayette,Florida,Florida-Lafayette,8870
12069,Lake,Florida,Florida-Lake,297052
12071,Lee,Florida,Florida-Lee,618754
12073,Leon,Florida,Florida-Leon,275487
12075,Levy,Florida,Florida-Levy,40801
12077,Liberty,Florida,Florida-Liberty,8365
12079,Madison,Florida,Florida-Madison,19224
12081,Manatee,Florida,Florida-Manatee,322833
12083,Marion,Florida,Florida-Marion,331298
12085,Martin,Florida,Florida-Martin,146318
12086,Miami-Dade,Florida,Florida-Miami-Dade,2496435
12087,Monroe,Florida,Florida-Monroe,73090
12089,Nassau,Florida,Florida-Nassau,73314
12091,Okaloosa,Florida,Florida-Okaloosa,180822
12093,Okeechobee,Florida,Florida-Okeechobee,39996
12095,Orange,Florida,Florida-Orange,1145956
12097,Osceola,Florida,Florida-Osceola,268685
12099,Palm Beach,Florida,Florida-Palm Beach,1320134
12101,Pasco,Florida,Florida-Pasco,464697
12103,Pinellas,Florida,Florida-Pinellas,916542
12105,Polk,Florida,Florida-Polk,602095
12107,Putnam,Florida,Florida-Putnam,74364
12109,St. Johns,Florida,Florida-St. Johns,190039
12111,St. Lucie,Florida,Florida-St. Lucie,277789
12113,Santa Rosa,Florida,Florida-Santa Rosa,151372
12115,Sarasota,Florida,Florida-Sarasota,379448
12117,Seminole,Florida,Florida-Seminole,422718
12119,Sumter,Florida,Florida-Sumter,93420
12121,Suwannee,Florida,Florida-Suwannee,41551
12123,Taylor,Florida,Florida-Taylor,22570
12125,Union,Florida,Florida-Union,15535
12127,Volusia,Florida,Florida-Volusia,494593
12129,Wakulla,Florida,Florida-Wakulla,30776
12131,Walton,Florida,Florida-Walton,55043
12133,Washington,Florida,Florida-Washington,24896
13001,Appling,Georgia,Georgia-Appling,18236
13003,Atkinson,Georgia,Georgia-Atkinson,8375
13005,Bacon,Georgia,Georgia-Bacon,11096
13007,Baker,Georgia,Georgia-Baker,3451
13009,Baldwin,Georgia,Georgia-Baldwin,45720
13011,Banks,Georgia,Georgia-Banks,18395
13013,Barrow,Georgia,Georgia-Barrow,69367
13015,Bartow,Georgia,Georgia-Bartow,100157
13017,Ben Hill,Georgia,Georgia-Ben Hill,17634
13019,Berrien,Georgia,Georgia-Berrien,19286
13021,Bibb,Georgia,Georgia-Bibb,155547
13023,Bleckley,Georgia,Georgia-Bleckley,13063
13025,Brantley,Georgia,Georgia-Brantley,18411
13027,Brooks,Georgia,Georgia-Brooks,16243
13029,Bryan,Georgia,Georgia-Bryan,30233
13031,Bulloch,Georgia,Georgia-Bulloch,70217
13033,Burke,Georgia,Georgia-Burke,23316
13035,Butts,Georgia,Georgia-Butts,23655
13037,Calhoun,Georgia,Georgia-Calhoun,6694
13039,Camden,Georgia,Georgia-Camden,50513
13043,Candler,Georgia,Georgia-Candler,10998
13045,Carroll,Georgia,Georgia-Carroll,110527
13047,Catoosa,Georgia,Georgia-Catoosa,63942
